Treatment,Replicate,OD ,Date,Time
YPDSET,1,0.185,10/23/2024,
YPDSET,2,0.207,10/23/2024,
YPDSET,3,0.218,10/23/2024,
YPDSET,4,0.184,10/23/2024,
YPDSET,5,0.241,10/23/2024,
YPDSET,6,0.227,10/23/2024,
YPDSET,7,0.178,10/23/2024,
YPDSET,8,0.183,10/23/2024,
YPDSET Settled,1,0.461,10/23/2024,
YPDSET Settled,2,0.275,10/23/2024,
YPDSET Settled,3,0.304,10/23/2024,
YPDSET Settled,4,0.247,10/23/2024,
YPDSET Settled,5,0.334,10/23/2024,
YPDSET Settled,6,0.34,10/23/2024,
YPDSET Settled,7,0.358,10/23/2024,
YPDSET Settled,8,0.244,10/23/2024,
GAL,1,0.233,10/24/2024,
GAL,2,0.236,10/24/2024,
GAL,3,0.263,10/24/2024,
GAL,4,0.248,10/24/2024,
GAL,5,0.277,10/24/2024,
GAL,6,0.282,10/24/2024,
GAL,7,0.256,10/24/2024,
GAL,8,0.292,10/24/2024,
GALSET,1,0.272,10/24/2024,
GALSET,2,0.424,10/24/2024,
GALSET,3,0.294,10/24/2024,
GALSET,4,0.281,10/24/2024,
GALSET,5,0.235,10/24/2024,
GALSET,6,0.219,10/24/2024,
GALSET,7,0.239,10/24/2024,
GALSET,8,0.244,10/24/2024,
GALSET Settled,1,0.681,10/24/2024,
GALSET Settled,2,0.66,10/24/2024,
GALSET Settled,3,0.591,10/24/2024,
GALSET Settled,4,0.676,10/24/2024,
GALSET Settled,5,0.397,10/24/2024,
GALSET Settled,6,0.435,10/24/2024,
GALSET Settled,7,0.453,10/24/2024,
GALSET Settled,8,0.53,10/24/2024,
YPD,1,0.195,10/24/2024,
YPD,2,0.199,10/24/2024,
YPD,3,0.195,10/24/2024,
YPD,4,0.216,10/24/2024,
YPD,5,0.176,10/24/2024,
YPD,6,0.204,10/24/2024,
YPD,7,0.181,10/24/2024,
YPD,8,0.224,10/24/2024,
YPDSET,1,0.184,10/24/2024,
YPDSET,2,0.192,10/24/2024,
YPDSET,3,0.151,10/24/2024,
YPDSET,4,0.179,10/24/2024,
YPDSET,5,0.188,10/24/2024,
YPDSET,6,0.19,10/24/2024,
YPDSET,7,0.205,10/24/2024,
YPDSET,8,0.21,10/24/2024,
YPDSET Settled,1,0.285,10/24/2024,
YPDSET Settled,2,0.331,10/24/2024,
YPDSET Settled,3,0.304,10/24/2024,
YPDSET Settled,4,0.44,10/24/2024,
YPDSET Settled,5,0.314,10/24/2024,
YPDSET Settled,6,0.408,10/24/2024,
YPDSET Settled,7,0.31,10/24/2024,
YPDSET Settled,8,0.406,10/24/2024,
GAL,1,0.265,10/25/2024,
GAL,2,0.259,10/25/2024,
GAL,3,0.278,10/25/2024,
GAL,4,0.261,10/25/2024,
GAL,5,0.257,10/25/2024,
GAL,6,0.354,10/25/2024,
GAL,7,0.269,10/25/2024,
GAL,8,0.285,10/25/2024,
GALSET,1,0.226,10/25/2024,
GALSET,2,0.231,10/25/2024,
GALSET,3,0.255,10/25/2024,
GALSET,4,0.275,10/25/2024,
GALSET,5,0.225,10/25/2024,
GALSET,6,0.21,10/25/2024,
GALSET,7,0.204,10/25/2024,
GALSET,8,0.256,10/25/2024,
GALSET Settled,1,0.365,10/25/2024,
GALSET Settled,2,0.461,10/25/2024,
GALSET Settled,3,0.422,10/25/2024,
GALSET Settled,4,0.455,10/25/2024,
GALSET Settled,5,0.442,10/25/2024,
GALSET Settled,6,0.299,10/25/2024,
GALSET Settled,7,0.419,10/25/2024,
GALSET Settled,8,0.412,10/25/2024,
YPD,1,0.229,10/25/2024,
YPD,2,0.217,10/25/2024,
YPD,3,0.18,10/25/2024,
YPD,4,0.189,10/25/2024,
YPD,5,0.175,10/25/2024,
YPD,6,0.217,10/25/2024,
YPD,7,0.189,10/25/2024,
YPD,8,0.19,10/25/2024,
YPDSET,1,0.192,10/25/2024,
YPDSET,2,0.212,10/25/2024,
YPDSET,3,0.202,10/25/2024,
YPDSET,4,0.2,10/25/2024,
YPDSET,5,0.174,10/25/2024,
YPDSET,6,0.187,10/25/2024,
YPDSET,7,0.195,10/25/2024,
YPDSET,8,0.182,10/25/2024,
YPDSET Settled,1,0.211,10/25/2024,
YPDSET Settled,2,0.248,10/25/2024,
YPDSET Settled,3,0.28,10/25/2024,
YPDSET Settled,4,0.23,10/25/2024,
YPDSET Settled,5,0.258,10/25/2024,
YPDSET Settled,6,0.284,10/25/2024,
YPDSET Settled,7,0.273,10/25/2024,
YPDSET Settled,8,0.289,10/25/2024,
GAL,1,0.229,10/26/2024,
GAL,2,0.207,10/26/2024,
GAL,3,0.278,10/26/2024,
GAL,4,0.251,10/26/2024,
GAL,5,0.242,10/26/2024,
GAL,6,0.269,10/26/2024,
GAL,7,0.234,10/26/2024,
GAL,8,0.272,10/26/2024,
GALSET,1,0.331,10/26/2024,
GALSET,2,0.273,10/26/2024,
GALSET,3,0.26,10/26/2024,
GALSET,4,0.241,10/26/2024,
GALSET,5,0.243,10/26/2024,
GALSET,6,0.278,10/26/2024,
GALSET,7,0.262,10/26/2024,
GALSET,8,0.264,10/26/2024,
GALSET Settled,1,0.415,10/26/2024,
GALSET Settled,2,0.408,10/26/2024,
GALSET Settled,3,0.477,10/26/2024,
GALSET Settled,4,0.375,10/26/2024,
GALSET Settled,5,0.536,10/26/2024,
GALSET Settled,6,0.49,10/26/2024,
GALSET Settled,7,0.483,10/26/2024,
GALSET Settled,8,0.549,10/26/2024,
YPD,1,0.195,10/26/2024,
YPD,2,0.19,10/26/2024,
YPD,3,0.258,10/26/2024,
YPD,4,0.254,10/26/2024,
YPD,5,0.212,10/26/2024,
YPD,6,0.193,10/26/2024,
YPD,7,0.191,10/26/2024,
YPD,8,0.171,10/26/2024,
YPDSET,1,0.179,10/26/2024,
YPDSET,2,0.195,10/26/2024,
YPDSET,3,0.198,10/26/2024,
YPDSET,4,0.185,10/26/2024,
YPDSET,5,0.205,10/26/2024,
YPDSET,6,0.171,10/26/2024,
YPDSET,7,0.168,10/26/2024,
YPDSET,8,0.177,10/26/2024,
YPDSET Settled,1,0.275,10/26/2024,
YPDSET Settled,2,0.274,10/26/2024,
YPDSET Settled,3,0.261,10/26/2024,
YPDSET Settled,4,0.266,10/26/2024,
YPDSET Settled,5,0.299,10/26/2024,
YPDSET Settled,6,0.276,10/26/2024,
YPDSET Settled,7,0.271,10/26/2024,
YPDSET Settled,8,0.277,10/26/2024,
GAL,1,0.246,10/27/2024,
GAL,2,0.24,10/27/2024,
GAL,3,0.24,10/27/2024,
GAL,4,0.278,10/27/2024,
GAL,5,0.206,10/27/2024,
GAL,6,0.233,10/27/2024,
GAL,7,0.241,10/27/2024,
GAL,8,0.206,10/27/2024,
GALSET,1,0.192,10/27/2024,
GALSET,2,0.261,10/27/2024,
GALSET,3,0.216,10/27/2024,
GALSET,4,0.158,10/27/2024,
GALSET,5,0.222,10/27/2024,
GALSET,6,0.231,10/27/2024,
GALSET,7,0.222,10/27/2024,
GALSET,8,0.201,10/27/2024,
GALSET Settled,1,0.369,10/27/2024,
GALSET Settled,2,0.315,10/27/2024,
GALSET Settled,3,0.466,10/27/2024,
GALSET Settled,4,0.369,10/27/2024,
GALSET Settled,5,0.382,10/27/2024,
GALSET Settled,6,0.335,10/27/2024,
GALSET Settled,7,0.322,10/27/2024,
GALSET Settled,8,0.435,10/27/2024,
YPD,1,0.212,10/27/2024,
YPD,2,0.245,10/27/2024,
YPD,3,0.239,10/27/2024,
YPD,4,0.22,10/27/2024,
YPD,5,0.215,10/27/2024,
YPD,6,0.251,10/27/2024,
YPD,7,0.227,10/27/2024,
YPD,8,0.24,10/27/2024,
YPDSET,1,0.198,10/27/2024,
YPDSET,2,0.189,10/27/2024,
YPDSET,3,0.211,10/27/2024,
YPDSET,4,0.154,10/27/2024,
YPDSET,5,0.179,10/27/2024,
YPDSET,6,0.193,10/27/2024,
YPDSET,7,0.181,10/27/2024,
YPDSET,8,0.178,10/27/2024,
YPDSET Settled,1,0.344,10/27/2024,
YPDSET Settled,2,0.281,10/27/2024,
YPDSET Settled,3,0.276,10/27/2024,
YPDSET Settled,4,0.271,10/27/2024,
YPDSET Settled,5,0.203,10/27/2024,
YPDSET Settled,6,0.265,10/27/2024,
YPDSET Settled,7,0.279,10/27/2024,
YPDSET Settled,8,0.28,10/27/2024,
GAL,1,0.239,10/28/2024,
GAL,2,0.304,10/28/2024,
GAL,3,0.251,10/28/2024,
GAL,4,0.272,10/28/2024,
GAL,5,0.236,10/28/2024,
GAL,6,0.278,10/28/2024,
GAL,7,0.263,10/28/2024,
GAL,8,0.275,10/28/2024,
GALSET,1,0.323,10/28/2024,
GALSET,2,0.22,10/28/2024,
GALSET,3,0.2,10/28/2024,
GALSET,4,0.216,10/28/2024,
GALSET,5,0.39,10/28/2024,
GALSET,6,0.178,10/28/2024,
GALSET,7,0.23,10/28/2024,
GALSET,8,0.187,10/28/2024,
GALSET Settled,1,0.416,10/28/2024,
GALSET Settled,2,0.428,10/28/2024,
GALSET Settled,3,0.371,10/28/2024,
GALSET Settled,4,0.299,10/28/2024,
GALSET Settled,5,0.358,10/28/2024,
GALSET Settled,6,0.321,10/28/2024,
GALSET Settled,7,0.359,10/28/2024,
GALSET Settled,8,0.512,10/28/2024,
YPD,1,0.198,10/28/2024,
YPD,2,0.226,10/28/2024,
YPD,3,0.192,10/28/2024,
YPD,4,0.218,10/28/2024,
YPD,5,0.22,10/28/2024,
YPD,6,0.173,10/28/2024,
YPD,7,0.21,10/28/2024,
YPD,8,0.188,10/28/2024,
YPDSET,1,0.198,10/28/2024,
YPDSET,2,0.209,10/28/2024,
YPDSET,3,0.196,10/28/2024,
YPDSET,4,0.152,10/28/2024,
YPDSET,5,0.179,10/28/2024,
YPDSET,6,0.176,10/28/2024,
YPDSET,7,0.185,10/28/2024,
YPDSET,8,0.187,10/28/2024,
YPDSET Settled,1,0.262,10/28/2024,
YPDSET Settled,2,0.239,10/28/2024,
YPDSET Settled,3,0.279,10/28/2024,
YPDSET Settled,4,0.255,10/28/2024,
YPDSET Settled,5,0.312,10/28/2024,
YPDSET Settled,6,0.257,10/28/2024,
YPDSET Settled,7,0.329,10/28/2024,
YPDSET Settled,8,0.325,10/28/2024,
GAL,1,0.273,10/29/2024,
GAL,2,0.223,10/29/2024,
GAL,3,0.201,10/29/2024,
GAL,4,0.19,10/29/2024,
GAL,5,0.259,10/29/2024,
GAL,6,0.199,10/29/2024,
GAL,7,0.262,10/29/2024,
GAL,8,0.28,10/29/2024,
GALSET,1,0.284,10/29/2024,
GALSET,2,0.277,10/29/2024,
GALSET,3,0.26,10/29/2024,
GALSET,4,0.231,10/29/2024,
GALSET,5,0.27,10/29/2024,
GALSET,6,0.275,10/29/2024,
GALSET,7,0.277,10/29/2024,
GALSET,8,0.258,10/29/2024,
GALSET Settled,1,0.469,10/29/2024,
GALSET Settled,2,0.46,10/29/2024,
GALSET Settled,3,0.457,10/29/2024,
GALSET Settled,4,0.419,10/29/2024,
GALSET Settled,5,0.376,10/29/2024,
GALSET Settled,6,0.465,10/29/2024,
GALSET Settled,7,0.392,10/29/2024,
GALSET Settled,8,0.424,10/29/2024,
YPD,1,0.253,10/29/2024,
YPD,2,0.242,10/29/2024,
YPD,3,0.25,10/29/2024,
YPD,4,0.236,10/29/2024,
YPD,5,0.219,10/29/2024,
YPD,6,0.236,10/29/2024,
YPD,7,0.232,10/29/2024,
YPD,8,0.258,10/29/2024,
YPDSET,1,0.266,10/29/2024,
YPDSET,2,0.237,10/29/2024,
YPDSET,3,0.254,10/29/2024,
YPDSET,4,0.251,10/29/2024,
YPDSET,5,0.261,10/29/2024,
YPDSET,6,0.26,10/29/2024,
YPDSET,7,0.254,10/29/2024,
YPDSET,8,0.293,10/29/2024,
YPDSET Settled,1,0.305,10/29/2024,
YPDSET Settled,2,0.246,10/29/2024,
YPDSET Settled,3,0.274,10/29/2024,
YPDSET Settled,4,0.273,10/29/2024,
YPDSET Settled,5,0.312,10/29/2024,
YPDSET Settled,6,0.313,10/29/2024,
YPDSET Settled,7,0.273,10/29/2024,
YPDSET Settled,8,0.319,10/29/2024,
GAL,1,0.216,10/30/2024,
GAL,2,0.266,10/30/2024,
GAL,3,0.198,10/30/2024,
GAL,4,0.256,10/30/2024,
GAL,5,0.249,10/30/2024,
GAL,6,0.228,10/30/2024,
GAL,7,0.222,10/30/2024,
GAL,8,0.226,10/30/2024,
GALSET,1,0.213,10/30/2024,
GALSET,2,0.229,10/30/2024,
GALSET,3,0.216,10/30/2024,
GALSET,4,0.213,10/30/2024,
GALSET,5,0.218,10/30/2024,
GALSET,6,0.227,10/30/2024,
GALSET,7,0.22,10/30/2024,
GALSET,8,0.202,10/30/2024,
GALSET Settled,1,0.446,10/30/2024,
GALSET Settled,2,0.383,10/30/2024,
GALSET Settled,3,0.417,10/30/2024,
GALSET Settled,4,0.418,10/30/2024,
GALSET Settled,5,0.409,10/30/2024,
GALSET Settled,6,0.416,10/30/2024,
GALSET Settled,7,0.389,10/30/2024,
GALSET Settled,8,0.373,10/30/2024,
YPD,1,0.229,10/30/2024,
YPD,2,0.234,10/30/2024,
YPD,3,0.214,10/30/2024,
YPD,4,0.23,10/30/2024,
YPD,5,0.214,10/30/2024,
YPD,6,0.237,10/30/2024,
YPD,7,0.22,10/30/2024,
YPD,8,0.22,10/30/2024,
YPDSET,1,0.166,10/30/2024,
YPDSET,2,0.215,10/30/2024,
YPDSET,3,0.208,10/30/2024,
YPDSET,4,0.192,10/30/2024,
YPDSET,5,0.15,10/30/2024,
YPDSET,6,0.16,10/30/2024,
YPDSET,7,0.181,10/30/2024,
YPDSET,8,0.177,10/30/2024,
YPDSET Settled,1,0.24,10/30/2024,
YPDSET Settled,2,0.294,10/30/2024,
YPDSET Settled,3,0.284,10/30/2024,
YPDSET Settled,4,0.284,10/30/2024,
YPDSET Settled,5,0.232,10/30/2024,
YPDSET Settled,6,0.202,10/30/2024,
YPDSET Settled,7,0.235,10/30/2024,
YPDSET Settled,8,0.296,10/30/2024,
GAL,1,0.261,10/31/2024,
GAL,2,0.282,10/31/2024,
GAL,3,0.235,10/31/2024,
GAL,4,0.229,10/31/2024,
GAL,5,0.246,10/31/2024,
GAL,6,0.238,10/31/2024,
GAL,7,0.241,10/31/2024,
GAL,8,0.269,10/31/2024,
GALSET,1,0.224,10/31/2024,
GALSET,2,0.217,10/31/2024,
GALSET,3,0.173,10/31/2024,
GALSET,4,0.187,10/31/2024,
GALSET,5,0.196,10/31/2024,
GALSET,6,0.219,10/31/2024,
GALSET,7,0.206,10/31/2024,
GALSET,8,0.204,10/31/2024,
GALSET Settled,1,0.306,10/31/2024,
GALSET Settled,2,0.337,10/31/2024,
GALSET Settled,3,0.368,10/31/2024,
GALSET Settled,4,0.394,10/31/2024,
GALSET Settled,5,0.493,10/31/2024,
GALSET Settled,6,0.343,10/31/2024,
GALSET Settled,7,0.367,10/31/2024,
GALSET Settled,8,0.386,10/31/2024,
YPD,1,0.211,10/31/2024,
YPD,2,0.2,10/31/2024,
YPD,3,0.19,10/31/2024,
YPD,4,0.196,10/31/2024,
YPD,5,0.23,10/31/2024,
YPD,6,0.199,10/31/2024,
YPD,7,0.231,10/31/2024,
YPD,8,0.198,10/31/2024,
YPDSET,1,0.21,10/31/2024,
YPDSET,2,0.211,10/31/2024,
YPDSET,3,0.201,10/31/2024,
YPDSET,4,0.192,10/31/2024,
YPDSET,5,0.19,10/31/2024,
YPDSET,6,0.184,10/31/2024,
YPDSET,7,0.2,10/31/2024,
YPDSET,8,0.185,10/31/2024,
YPDSET Settled,1,0.268,10/31/2024,
YPDSET Settled,2,0.249,10/31/2024,
YPDSET Settled,3,0.24,10/31/2024,
YPDSET Settled,4,0.228,10/31/2024,
YPDSET Settled,5,0.226,10/31/2024,
YPDSET Settled,6,0.228,10/31/2024,
YPDSET Settled,7,0.276,10/31/2024,
YPDSET Settled,8,0.249,10/31/2024,
GAL,1,0.214,11/1/2024,
GAL,2,0.229,11/1/2024,
GAL,3,0.223,11/1/2024,
GAL,4,0.186,11/1/2024,
GAL,5,0.232,11/1/2024,
GAL,6,0.234,11/1/2024,
GAL,7,0.206,11/1/2024,
GAL,8,0.241,11/1/2024,
GALSET,1,0.143,11/1/2024,
GALSET,2,0.167,11/1/2024,
GALSET,3,0.134,11/1/2024,
GALSET,4,0.189,11/1/2024,
GALSET,5,0.163,11/1/2024,
GALSET,6,0.187,11/1/2024,
GALSET,7,0.172,11/1/2024,
GALSET,8,0.204,11/1/2024,
GALSET Settled,1,0.37,11/1/2024,
GALSET Settled,2,0.379,11/1/2024,
GALSET Settled,3,0.391,11/1/2024,
GALSET Settled,4,0.442,11/1/2024,
GALSET Settled,5,0.352,11/1/2024,
GALSET Settled,6,0.417,11/1/2024,
GALSET Settled,7,0.433,11/1/2024,
GALSET Settled,8,0.457,11/1/2024,
YPD,1,0.188,11/1/2024,
YPD,2,0.209,11/1/2024,
YPD,3,0.183,11/1/2024,
YPD,4,0.205,11/1/2024,
YPD,5,0.224,11/1/2024,
YPD,6,0.221,11/1/2024,
YPD,7,0.2,11/1/2024,
YPD,8,0.216,11/1/2024,
YPDSET,1,0.168,11/1/2024,
YPDSET,2,0.181,11/1/2024,
YPDSET,3,0.189,11/1/2024,
YPDSET,4,0.174,11/1/2024,
YPDSET,5,0.138,11/1/2024,
YPDSET,6,0.141,11/1/2024,
YPDSET,7,0.157,11/1/2024,
YPDSET,8,0.124,11/1/2024,
YPDSET Settled,1,0.302,11/1/2024,
YPDSET Settled,2,0.203,11/1/2024,
YPDSET Settled,3,0.185,11/1/2024,
YPDSET Settled,4,0.219,11/1/2024,
YPDSET Settled,5,0.241,11/1/2024,
YPDSET Settled,6,0.188,11/1/2024,
YPDSET Settled,7,0.215,11/1/2024,
YPDSET Settled,8,0.202,11/1/2024,
GAL,1,0.268,11/2/2024,
GAL,2,0.256,11/2/2024,
GAL,3,0.23,11/2/2024,
GAL,4,0.215,11/2/2024,
GAL,5,0.257,11/2/2024,
GAL,6,0.24,11/2/2024,
GAL,7,0.248,11/2/2024,
GAL,8,0.268,11/2/2024,
GALSET,1,0.192,11/2/2024,
GALSET,2,0.202,11/2/2024,
GALSET,3,0.195,11/2/2024,
GALSET,4,0.19,11/2/2024,
GALSET,5,0.199,11/2/2024,
GALSET,6,0.207,11/2/2024,
GALSET,7,0.207,11/2/2024,
GALSET,8,0.182,11/2/2024,
GALSET Settled,1,0.418,11/2/2024,
GALSET Settled,2,0.433,11/2/2024,
GALSET Settled,3,0.428,11/2/2024,
GALSET Settled,4,0.348,11/2/2024,
GALSET Settled,5,0.553,11/2/2024,
GALSET Settled,6,0.44,11/2/2024,
GALSET Settled,7,0.414,11/2/2024,
GALSET Settled,8,0.388,11/2/2024,
YPD,1,0.185,11/2/2024,
YPD,2,0.213,11/2/2024,
YPD,3,0.211,11/2/2024,
YPD,4,0.202,11/2/2024,
YPD,5,0.211,11/2/2024,
YPD,6,0.234,11/2/2024,
YPD,7,0.216,11/2/2024,
YPD,8,0.212,11/2/2024,
YPDSET,1,0.194,11/2/2024,
YPDSET,2,0.209,11/2/2024,
YPDSET,3,0.188,11/2/2024,
YPDSET,4,0.209,11/2/2024,
YPDSET,5,0.206,11/2/2024,
YPDSET,6,0.199,11/2/2024,
YPDSET,7,0.191,11/2/2024,
YPDSET,8,0.186,11/2/2024,
YPDSET Settled,1,0.263,11/2/2024,
YPDSET Settled,2,0.296,11/2/2024,
YPDSET Settled,3,0.24,11/2/2024,
YPDSET Settled,4,0.284,11/2/2024,
YPDSET Settled,5,0.268,11/2/2024,
YPDSET Settled,6,0.216,11/2/2024,
YPDSET Settled,7,0.264,11/2/2024,
YPDSET Settled,8,0.227,11/2/2024,
GAL,1,0.255,11/3/2024,
GAL,2,0.255,11/3/2024,
GAL,3,0.278,11/3/2024,
GAL,4,0.256,11/3/2024,
GAL,5,0.267,11/3/2024,
GAL,6,0.258,11/3/2024,
GAL,7,0.235,11/3/2024,
GAL,8,0.242,11/3/2024,
GALSET,1,0.193,11/3/2024,
GALSET,2,0.217,11/3/2024,
GALSET,3,0.176,11/3/2024,
GALSET,4,0.186,11/3/2024,
GALSET,5,0.193,11/3/2024,
GALSET,6,0.235,11/3/2024,
GALSET,7,0.208,11/3/2024,
GALSET,8,0.23,11/3/2024,
GALSET Settled,1,0.316,11/3/2024,
GALSET Settled,2,0.514,11/3/2024,
GALSET Settled,3,0.352,11/3/2024,
GALSET Settled,4,0.421,11/3/2024,
GALSET Settled,5,0.437,11/3/2024,
GALSET Settled,6,0.558,11/3/2024,
GALSET Settled,7,0.411,11/3/2024,
GALSET Settled,8,0.513,11/3/2024,
YPD,1,0.207,11/3/2024,
YPD,2,0.191,11/3/2024,
YPD,3,0.204,11/3/2024,
YPD,4,0.204,11/3/2024,
YPD,5,0.209,11/3/2024,
YPD,6,0.194,11/3/2024,
YPD,7,0.19,11/3/2024,
YPD,8,0.205,11/3/2024,
YPDSET,1,0.182,11/3/2024,
YPDSET,2,0.193,11/3/2024,
YPDSET,3,0.202,11/3/2024,
YPDSET,4,0.188,11/3/2024,
YPDSET,5,0.187,11/3/2024,
YPDSET,6,0.183,11/3/2024,
YPDSET,7,0.163,11/3/2024,
YPDSET,8,0.177,11/3/2024,
YPDSET Settled,1,0.188,11/3/2024,
YPDSET Settled,2,0.251,11/3/2024,
YPDSET Settled,3,0.259,11/3/2024,
YPDSET Settled,4,0.315,11/3/2024,
YPDSET Settled,5,0.251,11/3/2024,
YPDSET Settled,6,0.237,11/3/2024,
YPDSET Settled,7,0.259,11/3/2024,
YPDSET Settled,8,0.29,11/3/2024,
GAL,1,0.275,11/4/2024,
GAL,2,0.295,11/4/2024,
GAL,3,0.237,11/4/2024,
GAL,4,0.215,11/4/2024,
GAL,5,0.213,11/4/2024,
GAL,6,0.222,11/4/2024,
GAL,7,0.243,11/4/2024,
GAL,8,0.209,11/4/2024,
GALSET,1,0.191,11/4/2024,
GALSET,2,0.185,11/4/2024,
GALSET,3,0.166,11/4/2024,
GALSET,4,0.168,11/4/2024,
GALSET,5,0.174,11/4/2024,
GALSET,6,0.169,11/4/2024,
GALSET,7,0.167,11/4/2024,
GALSET,8,0.172,11/4/2024,
GALSET Settled,1,0.444,11/4/2024,
GALSET Settled,2,0.467,11/4/2024,
GALSET Settled,3,0.415,11/4/2024,
GALSET Settled,4,0.393,11/4/2024,
GALSET Settled,5,0.435,11/4/2024,
GALSET Settled,6,0.471,11/4/2024,
GALSET Settled,7,0.448,11/4/2024,
GALSET Settled,8,0.455,11/4/2024,
YPD,1,0.19,11/4/2024,
YPD,2,0.162,11/4/2024,
YPD,3,0.172,11/4/2024,
YPD,4,0.182,11/4/2024,
YPD,5,0.181,11/4/2024,
YPD,6,0.161,11/4/2024,
YPD,7,0.183,11/4/2024,
YPD,8,0.192,11/4/2024,
YPDSET,1,0.184,11/4/2024,
YPDSET,2,0.179,11/4/2024,
YPDSET,3,0.195,11/4/2024,
YPDSET,4,0.196,11/4/2024,
YPDSET,5,0.192,11/4/2024,
YPDSET,6,0.192,11/4/2024,
YPDSET,7,0.193,11/4/2024,
YPDSET,8,0.188,11/4/2024,
YPDSET Settled,1,0.249,11/4/2024,
YPDSET Settled,2,0.257,11/4/2024,
YPDSET Settled,3,0.346,11/4/2024,
YPDSET Settled,4,0.322,11/4/2024,
YPDSET Settled,5,0.344,11/4/2024,
YPDSET Settled,6,0.283,11/4/2024,
YPDSET Settled,7,0.304,11/4/2024,
YPDSET Settled,8,0.326,11/4/2024,
GAL,1,0.275,11/5/2024,
GAL,2,0.231,11/5/2024,
GAL,3,0.245,11/5/2024,
GAL,4,0.22,11/5/2024,
GAL,5,0.235,11/5/2024,
GAL,6,0.221,11/5/2024,
GAL,7,0.224,11/5/2024,
GAL,8,0.23,11/5/2024,
GALSET,1,0.165,11/5/2024,
GALSET,2,0.156,11/5/2024,
GALSET,3,0.159,11/5/2024,
GALSET,4,0.164,11/5/2024,
GALSET,5,0.151,11/5/2024,
GALSET,6,0.208,11/5/2024,
GALSET,7,0.189,11/5/2024,
GALSET,8,0.191,11/5/2024,
GALSET Settled,1,0.497,11/5/2024,
GALSET Settled,2,0.39,11/5/2024,
GALSET Settled,3,0.507,11/5/2024,
GALSET Settled,4,0.426,11/5/2024,
GALSET Settled,5,0.491,11/5/2024,
GALSET Settled,6,0.55,11/5/2024,
GALSET Settled,7,0.414,11/5/2024,
GALSET Settled,8,0.443,11/5/2024,
YPD,1,0.168,11/5/2024,
YPD,2,0.195,11/5/2024,
YPD,3,0.174,11/5/2024,
YPD,4,0.179,11/5/2024,
YPD,5,0.179,11/5/2024,
YPD,6,0.183,11/5/2024,
YPD,7,0.167,11/5/2024,
YPD,8,0.18,11/5/2024,
YPDSET,1,0.155,11/5/2024,
YPDSET,2,0.146,11/5/2024,
YPDSET,3,0.151,11/5/2024,
YPDSET,4,0.158,11/5/2024,
YPDSET,5,0.165,11/5/2024,
YPDSET,6,0.165,11/5/2024,
YPDSET,7,0.168,11/5/2024,
YPDSET,8,0.152,11/5/2024,
YPDSET Settled,1,0.212,11/5/2024,
YPDSET Settled,2,0.223,11/5/2024,
YPDSET Settled,3,0.216,11/5/2024,
YPDSET Settled,4,0.31,11/5/2024,
YPDSET Settled,5,0.276,11/5/2024,
YPDSET Settled,6,0.294,11/5/2024,
YPDSET Settled,7,0.217,11/5/2024,
YPDSET Settled,8,0.204,11/5/2024,
GAL,1,0.257,11/6/2024,
