Treatment,Replicate,Settling,Number,Transfer
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,4,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,5,1
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,9,1
GAL,2,no,5,1
GAL,2,no,2,1
GAL,2,no,5,1
GAL,2,no,4,1
GAL,2,no,4,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,1,1
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,5,1
GAL,2,no,2,1
GAL,2,no,4,1
GAL,2,no,2,1
GAL,2,no,4,1
GAL,2,no,3,1
GAL,2,no,1,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,1,1
GAL,2,no,2,1
GAL,2,no,3,1
GAL,2,no,11,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,3,1
GAL,2,no,1,1
GAL,2,no,5,1
GAL,2,no,7,1
GAL,2,no,1,1
GAL,2,no,1,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,4,1
GAL,2,no,3,1
GAL,2,no,4,1
GAL,2,no,1,1
GAL,2,no,1,1
GAL,2,no,1,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,1,1
GAL,2,no,13,1
GAL,2,no,2,1
GAL,2,no,3,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,4,1
GAL,2,no,2,1
GAL,2,no,4,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,3,1
GAL,2,no,2,1
GAL,2,no,4,1
GAL,2,no,8,1
GAL,3,no,3,1
GAL,3,no,3,1
GAL,3,no,4,1
GAL,3,no,4,1
GAL,3,no,5,1
GAL,3,no,1,1
GAL,3,no,2,1
GAL,3,no,5,1
GAL,3,no,1,1
GAL,3,no,2,1
GAL,3,no,1,1
GAL,3,no,4,1
GAL,3,no,3,1
GAL,3,no,4,1
GAL,3,no,5,1
GAL,3,no,4,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,1,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,2,1
GAL,3,no,5,1
GAL,3,no,10,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,7,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,9,1
GAL,3,no,1,1
GAL,3,no,4,1
GAL,3,no,3,1
GAL,3,no,1,1
GAL,3,no,4,1
GAL,3,no,3,1
GAL,3,no,1,1
GAL,3,no,5,1
GAL,3,no,2,1
GAL,3,no,4,1
GAL,3,no,4,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,7,1
GAL,3,no,1,1
GAL,3,no,4,1
GAL,3,no,4,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,10,1
GAL,3,no,3,1
GAL,3,no,1,1
GAL,3,no,3,1
GAL,3,no,5,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,1,1
GAL,3,no,3,1
GAL,3,no,1,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,3,1
GAL,3,no,5,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,3,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,2,1
GAL,3,no,1,1
GAL,3,no,4,1
GAL,3,no,3,1
GAL,3,no,4,1
GAL,3,no,3,1
GAL,3,no,7,1
GAL,3,no,5,1
GAL,3,no,6,1
GAL,3,no,3,1
GAL,3,no,3,1
GAL,3,no,4,1
GAL,3,no,5,1
GAL,3,no,3,1
GAL,3,no,2,1
GAL,3,no,3,1
GAL,3,no,3,1
GAL,4,no,1,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,5,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,14,1
GAL,4,no,4,1
GAL,4,no,5,1
GAL,4,no,9,1
GAL,4,no,4,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,4,1
GAL,4,no,6,1
GAL,4,no,1,1
GAL,4,no,5,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,4,1
GAL,4,no,5,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,6,1
GAL,4,no,3,1
GAL,4,no,6,1
GAL,4,no,3,1
GAL,4,no,4,1
GAL,4,no,3,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,8,1
GAL,4,no,3,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,5,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,5,1
GAL,4,no,1,1
GAL,4,no,4,1
GAL,4,no,3,1
GAL,4,no,7,1
GAL,4,no,3,1
GAL,4,no,4,1
GAL,4,no,6,1
GAL,4,no,4,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,1,1
GAL,4,no,10,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,2,1
GAL,4,no,7,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,12,1
GAL,4,no,1,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,4,1
GAL,4,no,5,1
GAL,4,no,3,1
GAL,4,no,4,1
GAL,4,no,2,1
GAL,4,no,5,1
GAL,4,no,3,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,4,1
GAL,4,no,1,1
GAL,4,no,2,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,3,1
GAL,4,no,4,1
GAL,4,no,2,1
GAL,4,no,5,1
GAL,4,no,2,1
GAL,4,no,2,1
GAL,4,no,1,1
GAL,4,no,5,1
GAL,4,no,4,1
GAL,4,no,8,1
GALSET,1,yes,3,1
GALSET,1,yes,2,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,4,1
GALSET,1,yes,2,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,9,1
GALSET,1,yes,9,1
GALSET,1,yes,3,1
GALSET,1,yes,4,1
GALSET,1,yes,3,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,5,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,2,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,1,1
GALSET,1,yes,15,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,2,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,4,1
GALSET,1,yes,4,1
GALSET,1,yes,4,1
GALSET,1,yes,10,1
GALSET,1,yes,13,1
GALSET,1,yes,3,1
GALSET,1,yes,4,1
GALSET,1,yes,1,1
GALSET,1,yes,4,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,4,1
GALSET,1,yes,2,1
GALSET,1,yes,1,1
GALSET,1,yes,3,1
GALSET,1,yes,3,1
GALSET,1,yes,2,1
GALSET,1,yes,2,1
GALSET,1,yes,4,1
GALSET,1,yes,3,1
GALSET,1,yes,2,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,4,1
GALSET,1,yes,2,1
GALSET,1,yes,7,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,5,1
GALSET,1,yes,2,1
GALSET,1,yes,4,1
GALSET,1,yes,6,1
GALSET,1,yes,1,1
GALSET,1,yes,3,1
GALSET,1,yes,5,1
GALSET,1,yes,2,1
GALSET,1,yes,7,1
GALSET,1,yes,2,1
GALSET,1,yes,6,1
GALSET,1,yes,4,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,11,1
GALSET,1,yes,4,1
GALSET,1,yes,3,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,2,1
GALSET,1,yes,2,1
GALSET,1,yes,5,1
GALSET,1,yes,4,1
GALSET,1,yes,2,1
GALSET,1,yes,2,1
GALSET,1,yes,1,1
GALSET,1,yes,2,1
GALSET,1,yes,4,1
GALSET,1,yes,2,1
GALSET,1,yes,3,1
GALSET,1,yes,1,1
GALSET,2,yes,3,1
GALSET,2,yes,4,1
GALSET,2,yes,5,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,4,1
GALSET,2,yes,4,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,4,1
GALSET,2,yes,4,1
GALSET,2,yes,14,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,1,1
GALSET,2,yes,5,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,4,1
GALSET,2,yes,4,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,5,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,5,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,1,1
GALSET,2,yes,2,1
GALSET,2,yes,1,1
GALSET,2,yes,7,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,9,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,6,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,1,1
GALSET,2,yes,2,1
GALSET,2,yes,1,1
GALSET,2,yes,2,1
GALSET,2,yes,5,1
GALSET,2,yes,5,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,4,1
GALSET,2,yes,4,1
GALSET,2,yes,4,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,1,1
GALSET,2,yes,6,1
GALSET,2,yes,8,1
GALSET,2,yes,1,1
GALSET,2,yes,2,1
GALSET,2,yes,4,1
GALSET,2,yes,2,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,1,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,1,1
GALSET,2,yes,4,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,6,1
GALSET,2,yes,4,1
GALSET,2,yes,2,1
GALSET,2,yes,1,1
GALSET,2,yes,2,1
GALSET,2,yes,1,1
GALSET,2,yes,3,1
GALSET,2,yes,3,1
GALSET,2,yes,2,1
GALSET,2,yes,4,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,4,1
GALSET,3,yes,2,1
GALSET,3,yes,2,1
GALSET,3,yes,12,1
GALSET,3,yes,4,1
GALSET,3,yes,4,1
GALSET,3,yes,32,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,22,1
GALSET,3,yes,10,1
GALSET,3,yes,2,1
GALSET,3,yes,4,1
GALSET,3,yes,4,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,2,1
GALSET,3,yes,5,1
GALSET,3,yes,8,1
GALSET,3,yes,6,1
GALSET,3,yes,5,1
GALSET,3,yes,2,1
GALSET,3,yes,5,1
GALSET,3,yes,4,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,8,1
GALSET,3,yes,10,1
GALSET,3,yes,6,1
GALSET,3,yes,3,1
GALSET,3,yes,4,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,4,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,5,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,4,1
GALSET,3,yes,9,1
GALSET,3,yes,8,1
GALSET,3,yes,3,1
GALSET,3,yes,3,1
GALSET,3,yes,1,1
GALSET,3,yes,3,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,3,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,5,1
GALSET,3,yes,3,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,5,1
GALSET,3,yes,2,1
GALSET,3,yes,2,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,8,1
GALSET,3,yes,2,1
GALSET,3,yes,3,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,3,yes,4,1
GALSET,3,yes,4,1
GALSET,3,yes,2,1
GALSET,3,yes,1,1
GALSET,3,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,3,1
GALSET,4,yes,4,1
GALSET,4,yes,5,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,8,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,12,1
GALSET,4,yes,2,1
GALSET,4,yes,3,1
GALSET,4,yes,4,1
GALSET,4,yes,4,1
GALSET,4,yes,1,1
GALSET,4,yes,3,1
GALSET,4,yes,4,1
GALSET,4,yes,4,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,3,1
GALSET,4,yes,5,1
GALSET,4,yes,3,1
GALSET,4,yes,4,1
GALSET,4,yes,4,1
GALSET,4,yes,2,1
GALSET,4,yes,6,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,4,1
GALSET,4,yes,2,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,1,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,4,1
GALSET,4,yes,4,1
GALSET,4,yes,4,1
GALSET,4,yes,4,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,6,1
GALSET,4,yes,3,1
GALSET,4,yes,5,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,6,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,3,1
GALSET,4,yes,1,1
GALSET,4,yes,8,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,1,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,3,1
GALSET,4,yes,4,1
GALSET,4,yes,3,1
GALSET,4,yes,2,1
GALSET,4,yes,4,1
GALSET,4,yes,8,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,3,1
YPD,1,no,1,1
YPD,1,no,1,1
YPD,1,no,3,1
YPD,1,no,1,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,7,1
YPD,1,no,1,1
YPD,1,no,3,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,5,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,5,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,1,1
YPD,1,no,4,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,1,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,1,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,2,1
YPD,1,no,2,1
YPD,1,no,3,1
YPD,1,no,3,1
YPD,1,no,3,1
YPD,1,no,3,1
YPD,1,no,4,1
YPD,1,no,2,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,5,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,4,1
YPD,2,no,3,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,2,1
YPD,2,no,4,1
YPD,2,no,3,1
YPD,2,no,3,1
YPD,2,no,3,1
YPD,2,no,3,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,3,1
YPD,2,no,1,1
YPD,2,no,4,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,3,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,3,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,3,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,5,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,3,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,2,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,1,1
YPD,2,no,2,1
YPD,2,no,3,1
YPD,2,no,1,1
YPD,2,no,3,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,3,1
YPD,3,no,3,1
YPD,3,no,4,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,4,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,3,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,3,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,3,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,3,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,5,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,4,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,3,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,1,1
YPD,3,no,4,1
YPD,3,no,3,1
YPD,3,no,4,1
YPD,3,no,3,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,3,1
YPD,3,no,3,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,3,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,4,1
YPD,3,no,1,1
YPD,3,no,2,1
YPD,3,no,2,1
YPD,3,no,1,1
YPD,3,no,1,1
